timestamp,lap,lap_time,sector1,sector2,sector3,tyre_age,compound,position
0,1,94.2,31.2,32.1,30.9,1,MEDIUM,4
100,2,90.1,29.8,30.4,29.9,2,MEDIUM,4
200,3,88.9,29.4,29.8,29.7,3,MEDIUM,4
300,4,88.4,29.2,29.7,29.5,4,MEDIUM,4
400,5,88.2,29.1,29.5,29.6,5,MEDIUM,4
500,6,88.0,29.0,29.5,29.5,6,MEDIUM,4
600,7,87.9,29.0,29.4,29.5,7,MEDIUM,4
700,8,87.8,28.9,29.4,29.5,8,MEDIUM,4
800,9,87.9,29.0,29.4,29.5,9,MEDIUM,4
900,10,88.0,29.1,29.4,29.5,10,MEDIUM,4
1000,11,88.1,29.1,29.5,29.5,11,MEDIUM,4
1100,12,88.2,29.2,29.5,29.5,12,MEDIUM,4
1200,13,88.3,29.2,29.6,29.5,13,MEDIUM,4
1300,14,88.4,29.2,29.7,29.5,14,MEDIUM,4
1400,15,88.5,29.3,29.7,29.5,15,MEDIUM,4
1500,16,88.7,29.4,29.8,29.5,16,MEDIUM,4
1600,17,88.9,29.4,30.0,29.5,17,MEDIUM,4
1700,18,89.1,29.5,30.1,29.5,18,MEDIUM,4
1800,19,89.4,29.6,30.2,29.6,19,MEDIUM,4
1900,20,89.7,29.7,30.4,29.6,20,MEDIUM,5
2000,21,90.1,29.9,30.6,29.6,21,MEDIUM,5
2100,22,90.6,30.1,30.9,29.6,22,MEDIUM,5
2200,23,91.1,30.3,31.2,29.6,23,MEDIUM,5
2300,24,91.7,30.5,31.5,29.7,24,MEDIUM,5
2400,25,92.4,30.8,31.9,29.7,25,MEDIUM,5
2500,26,93.0,31.0,32.2,29.8,26,MEDIUM,5
2600,27,93.6,31.2,32.5,29.9,27,MEDIUM,5
2700,28,94.2,31.4,32.8,30.0,28,MEDIUM,5
2800,29,77.1,25.8,25.9,25.4,1,SOFT,4
2900,30,76.4,25.5,25.5,25.4,2,SOFT,4
3000,31,76.2,25.4,25.4,25.4,3,SOFT,4
3100,32,76.3,25.5,25.4,25.4,4,SOFT,4
3200,33,76.5,25.6,25.5,25.4,5,SOFT,3
3300,34,76.8,25.7,25.7,25.4,6,SOFT,3
3400,35,77.2,25.9,26.0,25.3,7,SOFT,3
